                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.54313,                0.27292,                0.88692,                0.99836,                0.99883,                0.99424,                0.92587,                0.42263,                0.17005,                0.84473,              0.0058915,              0.0058915,              0.0058915
                     86,                0.53986,                0.26985,                0.88479,                0.99836,                0.99883,                0.99425,                0.92582,                0.42237,                0.16996,                0.84463,               0.005842,               0.005842,               0.005842
                     87,                0.53481,                 0.2671,                 0.8825,                0.99835,                0.99883,                0.99424,                0.92561,                0.42193,                0.16952,                0.84452,              0.0057925,              0.0057925,              0.0057925
                     88,                0.54089,                0.27014,                0.88498,                 0.9985,                  0.999,                0.99437,                0.92608,                0.42158,                0.16929,                0.84438,               0.005743,               0.005743,               0.005743
                     89,                0.53774,                 0.2706,                0.88368,                0.99834,                0.99915,                0.99438,                0.92597,                0.42129,                0.16915,                0.84426,              0.0056935,              0.0056935,              0.0056935
                     90,                0.53673,                0.26619,                0.88371,                0.99834,                 0.9992,                0.99438,                0.92572,                0.42098,                0.16881,                0.84415,               0.005644,               0.005644,               0.005644
                     91,                0.53459,                0.26842,                0.88371,                0.99831,                0.99933,                0.99438,                0.92629,                0.42061,                 0.1687,                0.84395,              0.0055945,              0.0055945,              0.0055945
                     92,                0.53526,                0.26703,                0.88196,                 0.9983,                0.99933,                0.99438,                0.92617,                0.42052,                0.16885,                0.84384,               0.005545,               0.005545,               0.005545
                     93,                0.53427,                0.26563,                0.88256,                0.99831,                0.99933,                0.99438,                0.92644,                 0.4203,                0.16854,                0.84375,              0.0054955,              0.0054955,              0.0054955
                     94,                0.53529,                0.26639,                0.88181,                0.99832,                0.99933,                0.99439,                 0.9264,                   0.42,                0.16846,                0.84366,               0.005446,               0.005446,               0.005446
                     95,                0.53339,                 0.2654,                0.88296,                0.99833,                0.99931,                0.99439,                 0.9266,                0.41985,                0.16843,                0.84364,              0.0053965,              0.0053965,              0.0053965
                     96,                0.53623,                0.26687,                0.88272,                0.99815,                0.99913,                0.99421,                0.92635,                0.41964,                0.16782,                0.84354,               0.005347,               0.005347,               0.005347
                     97,                0.53293,                0.26408,                0.88055,                0.99832,                 0.9993,                0.99439,                0.92592,                0.41949,                0.16794,                 0.8435,              0.0052975,              0.0052975,              0.0052975
                     98,                 0.5335,                0.26488,                0.88216,                0.99815,                0.99913,                 0.9942,                0.92673,                0.41925,                0.16783,                0.84342,               0.005248,               0.005248,               0.005248
                     99,                0.53348,                 0.2642,                0.87971,                0.99832,                 0.9993,                0.99439,                0.92627,                0.41918,                0.16748,                 0.8433,              0.0051985,              0.0051985,              0.0051985
                    100,                0.53239,                0.26409,                0.88091,                0.99816,                0.99913,                0.99426,                 0.9265,                  0.419,                0.16748,                0.84324,               0.005149,               0.005149,               0.005149
                    101,                0.53499,                0.26651,                0.88243,                0.99833,                0.99929,                0.99439,                0.92637,                0.41886,                0.16721,                0.84309,              0.0050995,              0.0050995,              0.0050995
                    102,                0.53048,                 0.2643,                0.88143,                0.99834,                 0.9993,                0.99439,                0.92665,                0.41873,                0.16729,                0.84298,                0.00505,                0.00505,                0.00505
                    103,                0.53079,                0.26509,                0.88244,                0.99833,                0.99929,                0.99439,                0.92664,                0.41852,                0.16703,                0.84293,              0.0050005,              0.0050005,              0.0050005
                    104,                0.52767,                0.26123,                0.87928,                0.99833,                0.99929,                0.99439,                0.92735,                 0.4182,                 0.1669,                0.84274,               0.004951,               0.004951,               0.004951
                    105,                0.52727,                0.26127,                0.87984,                0.99867,                  0.999,                0.99439,                0.92699,                0.41808,                0.16674,                0.84265,              0.0049015,              0.0049015,              0.0049015
                    106,                0.52669,                0.26179,                 0.8803,                0.99869,                  0.999,                 0.9944,                0.92674,                0.41784,                0.16635,                0.84255,               0.004852,               0.004852,               0.004852
                    107,                0.52859,                0.26211,                0.88133,                0.99869,                  0.999,                 0.9944,                0.92707,                0.41748,                0.16637,                0.84236,              0.0048025,              0.0048025,              0.0048025
                    108,                0.52644,                0.26097,                0.87915,                 0.9987,                  0.999,                 0.9944,                0.92714,                0.41715,                0.16604,                0.84231,               0.004753,               0.004753,               0.004753
                    109,                0.52961,                0.26087,                 0.8817,                0.99869,                  0.999,                 0.9944,                0.92673,                0.41687,                0.16587,                0.84217,              0.0047035,              0.0047035,              0.0047035
                    110,                0.52561,                0.25983,                 0.8793,                0.99868,                  0.999,                0.99441,                0.92689,                0.41671,                0.16549,                0.84195,               0.004654,               0.004654,               0.004654
                    111,                0.52776,                0.26174,                0.87972,                 0.9987,                  0.999,                 0.9944,                 0.9268,                0.41637,                0.16551,                0.84179,              0.0046045,              0.0046045,              0.0046045
                    112,                 0.5257,                0.26053,                0.87899,                 0.9987,                  0.999,                0.99441,                0.92625,                 0.4161,                 0.1653,                0.84166,               0.004555,               0.004555,               0.004555
                    113,                0.52514,                0.26071,                0.87994,                 0.9988,                0.99911,                0.99441,                0.92654,                0.41596,                0.16534,                0.84149,              0.0045055,              0.0045055,              0.0045055
                    114,                0.52116,                0.25792,                0.87656,                 0.9988,                0.99912,                0.99441,                0.92713,                0.41568,                0.16532,                0.84136,               0.004456,               0.004456,               0.004456
                    115,                0.52115,                0.25896,                0.87793,                 0.9988,                0.99914,                0.99441,                0.92744,                0.41544,                0.16495,                0.84131,              0.0044065,              0.0044065,              0.0044065
                    116,                0.52323,                0.25816,                0.87839,                0.99879,                0.99916,                0.99442,                0.92748,                0.41526,                0.16488,                0.84122,               0.004357,               0.004357,               0.004357
                    117,                0.52199,                0.25652,                0.87835,                0.99875,                0.99916,                0.99441,                0.92756,                0.41494,                0.16498,                0.84108,              0.0043075,              0.0043075,              0.0043075
                    118,                   0.52,                0.25586,                0.87691,                0.99868,                0.99916,                0.99442,                0.92691,                0.41486,                0.16477,                0.84106,               0.004258,               0.004258,               0.004258
                    119,                0.52128,                0.25792,                0.87746,                0.99863,                0.99916,                0.99442,                0.92721,                0.41453,                0.16469,                0.84096,              0.0042085,              0.0042085,              0.0042085
                    120,                0.52037,                 0.2564,                0.87749,                0.99866,                0.99916,                0.99442,                0.92779,                 0.4144,                0.16447,                0.84092,               0.004159,               0.004159,               0.004159
                    121,                0.51832,                0.25361,                0.87806,                0.99865,                0.99916,                0.99442,                0.92825,                0.41427,                0.16452,                0.84084,              0.0041095,              0.0041095,              0.0041095
                    122,                0.52135,                0.25565,                0.87772,                0.99866,                0.99916,                0.99443,                0.92804,                0.41401,                0.16412,                0.84072,                0.00406,                0.00406,                0.00406
                    123,                0.51779,                0.25425,                0.87721,                0.99865,                0.99916,                0.99442,                0.92767,                 0.4138,                0.16385,                0.84065,              0.0040105,              0.0040105,              0.0040105
                    124,                0.52096,                0.25412,                 0.8791,                0.99868,                0.99916,                0.99442,                0.92785,                0.41363,                0.16385,                0.84059,               0.003961,               0.003961,               0.003961
                    125,                0.51827,                0.25315,                  0.877,                0.99869,                0.99916,                0.99441,                0.92757,                0.41355,                0.16379,                0.84055,              0.0039115,              0.0039115,              0.0039115
                    126,                0.51542,                0.25105,                0.87512,                0.99871,                0.99916,                0.99442,                0.92807,                0.41348,                0.16344,                0.84049,               0.003862,               0.003862,               0.003862
                    127,                0.51593,                0.25222,                0.87549,                0.99872,                0.99916,                0.99442,                0.92809,                0.41338,                0.16327,                0.84045,              0.0038125,              0.0038125,              0.0038125
                    128,                0.51411,                0.24995,                0.87433,                0.99874,                0.99916,                0.99441,                0.92811,                0.41321,                0.16332,                0.84038,               0.003763,               0.003763,               0.003763
