                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 0.8127,                0.32349,                0.96084,                0.99992,                      1,                  0.995,                  0.853,                0.76833,                0.23236,                0.93005,              0.0061225,              0.0061225,              0.0061225
                     50,                0.81106,                0.32012,                 0.9568,                0.99992,                      1,                  0.995,                0.85284,                0.76827,                0.23219,                 0.9299,                0.00604,                0.00604,                0.00604
                     51,                0.81122,                 0.3212,                0.95858,                0.99992,                      1,                  0.995,                0.85242,                0.76821,                0.23226,                 0.9297,              0.0059575,              0.0059575,              0.0059575
                     52,                0.80915,                0.31848,                0.95952,                0.99993,                      1,                  0.995,                0.85261,                0.76795,                0.23187,                0.92958,               0.005875,               0.005875,               0.005875
                     53,                0.81107,                0.31884,                0.95616,                0.99992,                      1,                  0.995,                0.85277,                0.76781,                0.23179,                0.92956,              0.0057925,              0.0057925,              0.0057925
                     54,                0.81127,                0.32009,                0.95203,                0.99992,                      1,                  0.995,                0.85271,                 0.7676,                0.23174,                 0.9294,                0.00571,                0.00571,                0.00571
                     55,                0.81107,                0.31918,                0.95612,                0.99991,                      1,                  0.995,                0.85264,                0.76784,                0.23195,                0.92947,              0.0056275,              0.0056275,              0.0056275
                     56,                0.80919,                0.31606,                0.95125,                0.99991,                      1,                  0.995,                0.85256,                 0.7676,                0.23149,                0.92914,               0.005545,               0.005545,               0.005545
                     57,                0.80536,                0.31873,                0.95803,                0.99992,                      1,                  0.995,                0.85267,                0.76756,                0.23107,                0.92929,              0.0054625,              0.0054625,              0.0054625
                     58,                0.80999,                0.31673,                0.95288,                0.99992,                      1,                  0.995,                 0.8528,                0.76753,                0.23082,                0.92916,                0.00538,                0.00538,                0.00538
                     59,                 0.8049,                0.31536,                0.95842,                0.99992,                      1,                  0.995,                0.85269,                0.76748,                0.23053,                0.92911,              0.0052975,              0.0052975,              0.0052975
                     60,                0.80668,                0.31369,                0.95671,                0.99992,                      1,                  0.995,                0.85266,                 0.7674,                0.23044,                0.92921,               0.005215,               0.005215,               0.005215
